
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. BaseDesign, 10699, 13621, 3329, 0, 2, 138, 30, 5, 9
.	. COREAHBTOAPB3_0, 99, 42, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_17s_0s, 99, 42, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 23, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBL_0, 108, 291, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL_0_CoreAHBL_0_0_CoreAHBLite_Z5, 108, 291, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_256_0_0_0s, 108, 291, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0s_0_1_0, 37, 79, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0s_0_1_0, 47, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 15, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_2, 13, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 9, 57, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 8, 11, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_0, 0, 61, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z6, 0, 61, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 54, 0, 0, 0, 0, 0, 0, 0
.	. CoreAXITOAHBL_0, 431, 1220, 80, 0, 0, 0, 12, 0, 0
.	.	. CoreAXITOAHBL_0_CoreAXITOAHBL_0_0_COREAXITOAHBL_5s_0s_0s_0s_1s_0s_64s_2s_8s, 431, 1220, 80, 0, 0, 0, 12, 0, 0
.	.	.	. COREAXITOAHBL_AHBMasterCtrl_Z8_0, 200, 877, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXIOutReg_5s_64s_8s, 13, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXISlaveCtrl_Z7_0, 80, 343, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_64s_8s, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSTRBPopCntr_64s_8s, 0, 39, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s, 69, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s_0, 69, 0, 0, 0, 0, 0, 6, 0, 0
.	. CoreAXITOAHBL_1, 431, 1329, 80, 0, 0, 0, 12, 0, 0
.	.	. CoreAXITOAHBL_1_CoreAXITOAHBL_1_0_COREAXITOAHBL_5s_0s_0s_0s_1s_0s_64s_2s_8s, 431, 1329, 80, 0, 0, 0, 12, 0, 0
.	.	.	. COREAXITOAHBL_AHBMasterCtrl_Z8_1, 200, 987, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXIOutReg_5s_64s_8s_0, 13, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXISlaveCtrl_Z7_1, 80, 342, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_64s_8s_1, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSTRBPopCntr_64s_8s_1, 0, 38, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s_1, 69, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_64s_8s_2, 69, 0, 0, 0, 0, 0, 6, 0, 0
.	. CoreGPIO_IN, 8, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_IN_CoreGPIO_IN_0_CoreGPIO_Z9, 8, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_OUT, 4, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_OUT_CoreGPIO_OUT_0_CoreGPIO_Z10, 4, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreJTAGDebug_0, 17, 111, 0, 0, 0, 0, 0, 2, 0
.	.	. COREJTAGDEBUG_Z11, 17, 111, 0, 0, 0, 0, 0, 2, 0
.	.	.	. COREJTAGDEBUG_UJ_JTAG_26s_0s_34s_85_0_0, 17, 106, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. corejtagdebug_bufd_34s, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. corejtagdebug_bufd_34s_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. corejtagdebug_bufd_34s_2, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreRESET_PF_0, 17, 3, 0, 0, 0, 0, 0, 1, 0
.	.	. CoreRESET_PF_0_CoreRESET_PF_0_0_CORERESET_PF, 17, 3, 0, 0, 0, 0, 0, 1, 0
.	. CoreTimer_0, 118, 88, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_19s_0s_1, 118, 88, 44, 0, 0, 0, 0, 0, 0
.	. CoreTimer_1, 118, 88, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_19s_0s, 118, 88, 44, 0, 0, 0, 0, 0, 0
.	. CoreUARTapb_0, 114, 135, 19, 0, 0, 0, 0, 0, 0
.	.	. CoreUARTapb_0_CoreUARTapb_0_0_CoreUARTapb_Z12, 114, 135, 19, 0, 0, 0, 0, 0, 0
.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_COREUART_0s_0s_0s_26s_0s_0s, 90, 107, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_Clock_gen_0s_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_Rx_async_0s_0s_0s_1s_2s_3s, 41, 68, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_0_CoreUARTapb_0_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 23, 5, 0, 0, 0, 0, 0, 0
.	. MiV_RV32IMA_L1_AXI_0, 9165, 10123, 3062, 0, 2, 10, 6, 0, 0
.	.	. MiV_RV32IMA_L1_AXI_0_MiV_RV32IMA_L1_AXI_0_0_MIV_RV32IMA_L1_AXI_24576_0_0s_5s_5s, 9165, 10123, 3062, 0, 2, 10, 6, 0, 0
